ISS.UTCGregorian           ISS.EarthMJ2000Eq.X       ISS.EarthMJ2000Eq.Y       ISS.EarthMJ2000Eq.Z       debris.UTCGregorian        debris.EarthMJ2000Eq.X    debris.EarthMJ2000Eq.Y    debris.EarthMJ2000Eq.Z    debris2.UTCGregorian       debris2.EarthMJ2000Eq.X   debris2.EarthMJ2000Eq.Y   debris2.EarthMJ2000Eq.Z   
29 Nov 2024 00:13:43.467   -3803.111683270652        5637.422077446301         0.6511037549654           29 Nov 2024 00:13:43.467   -4500.111683270652        6000.422077446301         8.6511037549654           29 Nov 2024 00:13:43.467   -5000.111683270652        6200                      5.6511037549654           
29 Nov 2024 00:14:43.467   -4030.681446356228        5464.953534429037         360.3661356058389         29 Nov 2024 00:14:43.467   -4728.819603825828        5890.635411044061         368.4257182936117         29 Nov 2024 00:14:43.467   -5289.360142702471        6031.619741230016         365.4657303583814         
29 Nov 2024 00:16:10.668   -4328.333531878568        5170.031182335067         879.771493736934          29 Nov 2024 00:16:10.668   -5033.13939614515         5696.44580413078          888.8182174456527         29 Nov 2024 00:16:10.668   -5683.503236004199        5757.342392595957         886.3428098981954         
29 Nov 2024 00:17:41.663   -4594.385965183434        4809.162364445845         1412.625731208075         29 Nov 2024 00:17:41.663   -5314.393266157792        5452.749329677245         1425.398163663554         29 Nov 2024 00:17:41.663   -6060.719844143901        5436.643095038686         1424.538254851011         
29 Nov 2024 00:19:13.118   -4813.166194646894        4395.585959550685         1933.179185755149         29 Nov 2024 00:19:13.118   -5559.042635060695        5168.783781324131         1954.48773927557          29 Nov 2024 00:19:13.118   -6404.16467201144         5082.2868711114           1957.073526198771         
29 Nov 2024 00:20:44.626   -4980.970673582183        3935.108772458834         2433.446109036976         29 Nov 2024 00:20:44.626   -5765.309001378107        4848.818848034906         2470.323273469655         29 Nov 2024 00:20:44.626   -6711.84842559872         4699.163687298819         2478.924360832372         
29 Nov 2024 00:22:16.143   -5095.891810990346        3432.790546305072         2907.847503818444         29 Nov 2024 00:22:16.143   -5932.972566587521        4496.317786813883         2969.644578242937         29 Nov 2024 00:22:16.143   -6983.854528967266        4290.969307953234         2987.637547141299         
29 Nov 2024 00:23:47.667   -5156.696162423832        2893.978794208032         3351.307952917757         29 Nov 2024 00:23:47.667   -6062.176638926707        4114.621904321412         3449.718316226675         29 Nov 2024 00:23:47.667   -7220.774352350833        3861.151330956589         3481.360349172598         
29 Nov 2024 00:25:19.194   -5162.733426913029        2324.405338013425         3759.092639191381         29 Nov 2024 00:25:19.194   -6153.283631547724        3707.032190432707         3908.100559780994         29 Nov 2024 00:25:19.194   -7423.487642189941        3412.990793857495         3958.598770070126         
29 Nov 2024 00:26:50.727   -5113.936664928695        1730.108302266213         4126.86286295907          29 Nov 2024 00:26:50.727   -6206.843346569573        3276.780179264872         4342.625239994239         29 Nov 2024 00:26:50.727   -7593.098439889549        2949.55310479012          4418.196602423624         
29 Nov 2024 00:28:22.266   -5010.818692483754        1117.395426170677         4450.698405898353         29 Nov 2024 00:28:22.266   -6223.560486931092        2827.035715468474         4751.359745581952         29 Nov 2024 00:28:22.266   -7730.865029777254        2473.687958056238         4859.276019326425         
29 Nov 2024 00:29:53.809   -4854.471840669836        492.7860829709862         4727.138402074317         29 Nov 2024 00:29:53.809   -6204.275647857034        2360.906249265736         5132.583465548949         29 Nov 2024 00:29:53.809   -7838.15133394876         1988.025684353439         5281.198768976962         
29 Nov 2024 00:31:25.356   -4646.553496079085        -137.0808970446005        4953.231386003485         29 Nov 2024 00:31:25.356   -6149.948253819638        1881.415550535192         5484.786405935154         29 Nov 2024 00:31:25.356   -7916.391199465655        1494.958074160164         5683.548882744473         
29 Nov 2024 00:32:56.902   -4389.275524821463        -765.4940125817629        5126.557382202379         29 Nov 2024 00:32:56.902   -6061.642475534593        1391.519700217717         5806.638987925413         29 Nov 2024 00:32:56.902   -7967.050822218785        996.6624832125319         6066.084314527319         
